theme,url,img,lines,author
INNOVATION,https://www.passiton.com/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20250908_monday_quote.jpg,Innovation is the ability to see change as an opportunity – not a threat. #<Author:0x00007f24c82bb198>,
HARD WORK,https://www.passiton.com/inspirational-quotes/3353-there-is-no-substitute-for-hard-work,https://assets.passiton.com/quotes/quote_artwork/3353/medium/20250905_friday_quote.jpg,There is no substitute for hard work. #<Author:0x00007f24c82ba518>,
HARD WORK,https://www.passiton.com/inspirational-quotes/7468-the-price-of-success-is-hard-work-dedication,https://assets.passiton.com/quotes/quote_artwork/7468/medium/20250904_thursday_quote.jpg,"The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand. #<Author:0x00007f24c82b9758>",
HARD WORK,https://www.passiton.com/inspirational-quotes/7893-success-isnt-always-about-greatness-its-about,https://assets.passiton.com/quotes/quote_artwork/7893/medium/20250903_wednesday_quote.jpg,Success isn't always about greatness. It's about consistency. Consistent hard work leads to success. Greatness will come. #<Author:0x00007f24c82b8858>,
HARD WORK,https://www.passiton.com/inspirational-quotes/8453-all-labor-that-uplifts-humanity-has-dignity-and,https://assets.passiton.com/quotes/quote_artwork/8453/medium/20250902_tuesday_quote.jpg,All labor that uplifts humanity has dignity and importance. #<Author:0x00007f24c82b76d8>,
HARD WORK,https://www.passiton.com/inspirational-quotes/8452-without-labor-nothing-prospers,https://assets.passiton.com/quotes/quote_artwork/8452/medium/20250901_monday_quote.jpg,"Without labor, nothing prospers. #<Author:0x00007f24c82b6a58>",
LISTENING,https://www.passiton.com/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20250829_friday_quote.jpg,Listen with curiosity. Speak with honesty. Act with integrity. #<Author:0x00007f24c82b5dd8>,
LISTENING,https://www.passiton.com/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20250828_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen. #<Author:0x00007f24c82b5298>,
LISTENING,https://www.passiton.com/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20250827_wednesday_quote.jpg,I’m a very strong believer in listening and learning from others. #<Author:0x00007f24c82b3218>,
LISTENING,https://www.passiton.com/inspirational-quotes/7609-there-is-a-voice-that-doesn-t-use-words-listen,https://assets.passiton.com/quotes/quote_artwork/7609/medium/20250826_tuesday_quote.jpg,There is a voice that doesn’t use words. Listen. #<Author:0x00007f24c82b2458>,
LISTENING,https://www.passiton.com/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20250825_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors. #<Author:0x00007f24c82b17d8>,
EDUCATION,https://www.passiton.com/inspirational-quotes/7664-one-child-one-teacher-one-book-one-pen-can,https://assets.passiton.com/quotes/quote_artwork/7664/medium/20250822_friday_quote.jpg,"One child, one teacher, one book, one pen can change the world. #<Author:0x00007f24c82b08d8>",
EDUCATION,https://www.passiton.com/inspirational-quotes/8451-i-found-that-almost-everyone-had-something,https://assets.passiton.com/quotes/quote_artwork/8451/medium/20250821_thursday_quote.jpg,I found that almost everyone had something interesting to contribute to my education. #<Author:0x00007f24a3b5cf88>,
EDUCATION,https://www.passiton.com/inspirational-quotes/8267-the-best-teachers-are-those-who-show-you-where,https://assets.passiton.com/quotes/quote_artwork/8267/medium/20250820_wednesday_quote.jpg,The best teachers are those who show you where to look but don’t tell you what to see. #<Author:0x00007f24a3b5aa08>,
EDUCATION,https://www.passiton.com/inspirational-quotes/7932-children-must-be-taught-how-to-think-not-what,https://assets.passiton.com/quotes/quote_artwork/7932/medium/20250819_tuesday_quote.jpg,"Children must be taught how to think, not what to think. #<Author:0x00007f24a3b59388>",
EDUCATION,https://www.passiton.com/inspirational-quotes/6517-the-purpose-of-education-is-to-replace-an-empty,https://assets.passiton.com/quotes/quote_artwork/6517/medium/20250818_monday_quote.jpg,"The purpose of education is to replace an empty mind with an open one.
 #<Author:0x00007f24a3b567c8>",
RESPECT,https://www.passiton.com/inspirational-quotes/3239-we-dont-need-to-share-the-same-opinions-as,https://assets.passiton.com/quotes/quote_artwork/3239/medium/20250815_friday_quote.jpg,"We don't need to share the same opinions as others, but we need to be respectful. #<Author:0x00007f24a3b53988>",
RESPECT,https://www.passiton.com/inspirational-quotes/8081-one-of-the-most-sincere-forms-of-respect-is,https://assets.passiton.com/quotes/quote_artwork/8081/medium/20250814_thursday_quote.jpg,One of the most sincere forms of respect is actually listening to what another has to say. #<Author:0x00007f24a3b51e08>,
RESPECT,https://www.passiton.com/inspirational-quotes/8086-respect-is-one-of-the-greatest-expressions-of,https://assets.passiton.com/quotes/quote_artwork/8086/medium/20250813_wednesday_quote.jpg,Respect is one of the greatest expressions of love. #<Author:0x00007f24a3b6e620>,
